denominator,robust_generation_failures,n,rate,wilson_low,wilson_high
candidate_pool,151,381,0.3963254593175853,0.34848024767720154,0.4462404140672811
visible_strict,151,763,0.19790301441677588,0.1711766971401478,0.22765601502311975
all_baseline_errors,151,1987,0.07599396074484147,0.06514329136578031,0.08848092489997098
