pool,comparison,n,b,c,net_correct,delta_rate,p_value
strict_all,A6_vs_A0,896,271,7,264,0.29464285714285715,9.972137614794008e-71
strict_all,UA1_vs_A0,896,278,9,269,0.3002232142857143,2.6653802158345632e-70
strict_all,UA2_vs_A0,896,425,11,414,0.46205357142857145,2.7621725765620726e-110
strict_all,UA3_vs_A0,896,462,11,451,0.5033482142857143,4.96249900253863e-121
strict_all,UA4_vs_A0,896,300,4,296,0.33035714285714285,2.1696017222301126e-83
strict_all,UA5_vs_A0,896,339,4,335,0.37388392857142855,6.400412647497123e-95
