pool,condition,n,correct,recovery_rate
strict_all,A0,896,29,0.03236607142857143
strict_all,A6,896,293,0.32700892857142855
strict_all,UA1,896,298,0.3325892857142857
strict_all,UA2,896,443,0.49441964285714285
strict_all,UA3,896,480,0.5357142857142857
strict_all,UA4,896,325,0.3627232142857143
strict_all,UA5,896,364,0.40625
