dataset,condition,n,correct,recovery_rate
long,A6,437,139,0.3180778032036613
long,UA1,437,138,0.3157894736842105
long,UA2,437,220,0.5034324942791762
long,UA3,437,234,0.5354691075514875
long,UA4,437,154,0.3524027459954233
long,UA5,437,160,0.36613272311212813
medium,A6,430,132,0.30697674418604654
medium,UA1,430,140,0.32558139534883723
medium,UA2,430,205,0.47674418604651164
medium,UA3,430,228,0.5302325581395348
medium,UA4,430,146,0.3395348837209302
medium,UA5,430,179,0.41627906976744183
