pool,n,a6_correct,a6_rate,a7_correct,a7_rate,a7_minus_a6
strict_stable_wrong,867,271,0.31257208765859285,290,0.3344867358708189,0.02191464821222607
visible_supported,737,202,0.27408412483039346,219,0.2971506105834464,0.023066485753052916
serialization_loss,130,69,0.5307692307692308,71,0.5461538461538461,0.015384615384615385
