samples=12741 existing=20 pending=12721
semantic_judged_new=6450/12721 total_done=6470/12741
semantic_judged_new=6500/12721 total_done=6520/12741
semantic_judged_new=6550/12721 total_done=6570/12741
semantic_judged_new=6600/12721 total_done=6620/12741
semantic_judged_new=6650/12721 total_done=6670/12741
semantic_judged_new=6700/12721 total_done=6720/12741
semantic_judged_new=6750/12721 total_done=6770/12741
semantic_judged_new=6800/12721 total_done=6820/12741
semantic_judged_new=6850/12721 total_done=6870/12741
semantic_judged_new=6900/12721 total_done=6920/12741
semantic_judged_new=6950/12721 total_done=6970/12741
semantic_judged_new=7000/12721 total_done=7020/12741
semantic_judged_new=7050/12721 total_done=7070/12741
semantic_judged_new=7100/12721 total_done=7120/12741
semantic_judged_new=7150/12721 total_done=7170/12741
semantic_judged_new=7200/12721 total_done=7220/12741
semantic_judged_new=7250/12721 total_done=7270/12741
semantic_judged_new=7300/12721 total_done=7320/12741
semantic_judged_new=7350/12721 total_done=7370/12741
semantic_judged_new=7400/12721 total_done=7420/12741
semantic_judged_new=7450/12721 total_done=7470/12741
semantic_judged_new=7500/12721 total_done=7520/12741
semantic_judged_new=7550/12721 total_done=7570/12741
semantic_judged_new=7600/12721 total_done=7620/12741
semantic_judged_new=7650/12721 total_done=7670/12741
semantic_judged_new=7700/12721 total_done=7720/12741
semantic_judged_new=7750/12721 total_done=7770/12741
semantic_judged_new=7800/12721 total_done=7820/12741
semantic_judged_new=7850/12721 total_done=7870/12741
semantic_judged_new=7900/12721 total_done=7920/12741
semantic_judged_new=7950/12721 total_done=7970/12741
semantic_judged_new=8000/12721 total_done=8020/12741
semantic_judged_new=8050/12721 total_done=8070/12741
semantic_judged_new=8100/12721 total_done=8120/12741
semantic_judged_new=8150/12721 total_done=8170/12741
semantic_judged_new=8200/12721 total_done=8220/12741
semantic_judged_new=8250/12721 total_done=8270/12741
semantic_judged_new=8300/12721 total_done=8320/12741
semantic_judged_new=8350/12721 total_done=8370/12741
semantic_judged_new=8400/12721 total_done=8420/12741
semantic_judged_new=8450/12721 total_done=8470/12741
semantic_judged_new=8500/12721 total_done=8520/12741
semantic_judged_new=8550/12721 total_done=8570/12741
semantic_judged_new=8600/12721 total_done=8620/12741
semantic_judged_new=8650/12721 total_done=8670/12741
semantic_judged_new=8700/12721 total_done=8720/12741
semantic_judged_new=8750/12721 total_done=8770/12741
semantic_judged_new=8800/12721 total_done=8820/12741
semantic_judged_new=8850/12721 total_done=8870/12741
semantic_judged_new=8900/12721 total_done=8920/12741
semantic_judged_new=8950/12721 total_done=8970/12741
semantic_judged_new=9000/12721 total_done=9020/12741
semantic_judged_new=9050/12721 total_done=9070/12741
semantic_judged_new=9100/12721 total_done=9120/12741
semantic_judged_new=9150/12721 total_done=9170/12741
semantic_judged_new=9200/12721 total_done=9220/12741
semantic_judged_new=9250/12721 total_done=9270/12741
semantic_judged_new=9300/12721 total_done=9320/12741
semantic_judged_new=9350/12721 total_done=9370/12741
semantic_judged_new=9400/12721 total_done=9420/12741
semantic_judged_new=9450/12721 total_done=9470/12741
semantic_judged_new=9500/12721 total_done=9520/12741
semantic_judged_new=9550/12721 total_done=9570/12741
semantic_judged_new=9600/12721 total_done=9620/12741
semantic_judged_new=9650/12721 total_done=9670/12741
semantic_judged_new=9700/12721 total_done=9720/12741
semantic_judged_new=9750/12721 total_done=9770/12741
semantic_judged_new=9800/12721 total_done=9820/12741
semantic_judged_new=9850/12721 total_done=9870/12741
semantic_judged_new=9900/12721 total_done=9920/12741
semantic_judged_new=9950/12721 total_done=9970/12741
semantic_judged_new=10000/12721 total_done=10020/12741
semantic_judged_new=10050/12721 total_done=10070/12741
semantic_judged_new=10100/12721 total_done=10120/12741
semantic_judged_new=10150/12721 total_done=10170/12741
semantic_judged_new=10200/12721 total_done=10220/12741
semantic_judged_new=10250/12721 total_done=10270/12741
semantic_judged_new=10300/12721 total_done=10320/12741
semantic_judged_new=10350/12721 total_done=10370/12741
semantic_judged_new=10400/12721 total_done=10420/12741
semantic_judged_new=10450/12721 total_done=10470/12741
semantic_judged_new=10500/12721 total_done=10520/12741
semantic_judged_new=10550/12721 total_done=10570/12741
semantic_judged_new=10600/12721 total_done=10620/12741
semantic_judged_new=10650/12721 total_done=10670/12741
semantic_judged_new=10700/12721 total_done=10720/12741
semantic_judged_new=10750/12721 total_done=10770/12741
semantic_judged_new=10800/12721 total_done=10820/12741
semantic_judged_new=10850/12721 total_done=10870/12741
semantic_judged_new=10900/12721 total_done=10920/12741
semantic_judged_new=10950/12721 total_done=10970/12741
semantic_judged_new=11000/12721 total_done=11020/12741
semantic_judged_new=11050/12721 total_done=11070/12741
semantic_judged_new=11100/12721 total_done=11120/12741
semantic_judged_new=11150/12721 total_done=11170/12741
semantic_judged_new=11200/12721 total_done=11220/12741
semantic_judged_new=11250/12721 total_done=11270/12741
semantic_judged_new=11300/12721 total_done=11320/12741
semantic_judged_new=11350/12721 total_done=11370/12741
semantic_judged_new=11400/12721 total_done=11420/12741
semantic_judged_new=11450/12721 total_done=11470/12741
semantic_judged_new=11500/12721 total_done=11520/12741
semantic_judged_new=11550/12721 total_done=11570/12741
semantic_judged_new=11600/12721 total_done=11620/12741
semantic_judged_new=11650/12721 total_done=11670/12741
semantic_judged_new=11700/12721 total_done=11720/12741
semantic_judged_new=11750/12721 total_done=11770/12741
semantic_judged_new=11800/12721 total_done=11820/12741
semantic_judged_new=11850/12721 total_done=11870/12741
semantic_judged_new=11900/12721 total_done=11920/12741
semantic_judged_new=11950/12721 total_done=11970/12741
semantic_judged_new=12000/12721 total_done=12020/12741
semantic_judged_new=12050/12721 total_done=12070/12741
semantic_judged_new=12100/12721 total_done=12120/12741
semantic_judged_new=12150/12721 total_done=12170/12741
semantic_judged_new=12200/12721 total_done=12220/12741
semantic_judged_new=12250/12721 total_done=12270/12741
semantic_judged_new=12300/12721 total_done=12320/12741
semantic_judged_new=12350/12721 total_done=12370/12741
semantic_judged_new=12400/12721 total_done=12420/12741
semantic_judged_new=12450/12721 total_done=12470/12741
semantic_judged_new=12500/12721 total_done=12520/12741
semantic_judged_new=12550/12721 total_done=12570/12741
semantic_judged_new=12600/12721 total_done=12620/12741
semantic_judged_new=12650/12721 total_done=12670/12741
semantic_judged_new=12700/12721 total_done=12720/12741
semantic_judged_new=12721/12721 total_done=12741/12741
{
  "model": "deepseek-chat",
  "judge": "semantic entailment over saved raw_memories",
  "wrong_with_evidence_total": 12741,
  "overall": [
    {
      "run_id": "mem0_long",
      "wrong_with_evidence_judged": 2239,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 13,
      "semantic_any_supported": 46,
      "semantic_all_supported": 25,
      "semantic_any_partial_or_supported": 188,
      "semantic_all_partial_or_supported": 79,
      "semantic_any_contradicted": 71,
      "semantic_any_supported_rate": 2.05,
      "semantic_any_partial_or_supported_rate": 8.4
    },
    {
      "run_id": "mem0_medium",
      "wrong_with_evidence_judged": 2091,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 23,
      "semantic_any_supported": 239,
      "semantic_all_supported": 153,
      "semantic_any_partial_or_supported": 445,
      "semantic_all_partial_or_supported": 270,
      "semantic_any_contradicted": 368,
      "semantic_any_supported_rate": 11.43,
      "semantic_any_partial_or_supported_rate": 21.28
    },
    {
      "run_id": "memobase_long",
      "wrong_with_evidence_judged": 2433,
      "token_any_exact_hit": 5,
      "token_any_hit_0p60": 3,
      "semantic_any_supported": 29,
      "semantic_all_supported": 18,
      "semantic_any_partial_or_supported": 121,
      "semantic_all_partial_or_supported": 50,
      "semantic_any_contradicted": 13,
      "semantic_any_supported_rate": 1.19,
      "semantic_any_partial_or_supported_rate": 4.97
    },
    {
      "run_id": "memobase_medium",
      "wrong_with_evidence_judged": 2324,
      "token_any_exact_hit": 4,
      "token_any_hit_0p60": 17,
      "semantic_any_supported": 84,
      "semantic_all_supported": 46,
      "semantic_any_partial_or_supported": 235,
      "semantic_all_partial_or_supported": 111,
      "semantic_any_contradicted": 29,
      "semantic_any_supported_rate": 3.61,
      "semantic_any_partial_or_supported_rate": 10.11
    },
    {
      "run_id": "memos_long",
      "wrong_with_evidence_judged": 998,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 259,
      "semantic_any_supported": 451,
      "semantic_all_supported": 348,
      "semantic_any_partial_or_supported": 564,
      "semantic_all_partial_or_supported": 442,
      "semantic_any_contradicted": 67,
      "semantic_any_supported_rate": 45.19,
      "semantic_any_partial_or_supported_rate": 56.51
    },
    {
      "run_id": "memos_medium",
      "wrong_with_evidence_judged": 989,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 278,
      "semantic_any_supported": 445,
