pool,condition,n,correct,flip_rate,wilson_low,wilson_high
full_pool,A1,1573,72,0.04577240940877304,0.03650450005427505,0.05725347288186493
full_pool,A2,1573,246,0.15638906547997458,0.13927877227931693,0.175173550144733
full_pool,A3,1573,272,0.1729179910998093,0.15503194000966747,0.1923976990045299
full_pool,A4,1573,60,0.03814367450731087,0.029748011965154288,0.04878966100630224
retrieved_strict,A1,598,65,0.10869565217391304,0.08620101352437111,0.1361855583195758
retrieved_strict,A2,598,242,0.40468227424749165,0.3660721882032514,0.4445091562202742
retrieved_strict,A3,598,268,0.44816053511705684,0.4087589739115301,0.48822386252933464
retrieved_strict,A4,598,55,0.09197324414715718,0.07134314737012139,0.11781208139023351
