pool,comparison,n,b,c,p_value
full_pool,A3_vs_A1,1573,226,26,5.556201295407909e-41
full_pool,A3_vs_A2,1573,38,12,0.00030586400160359517
full_pool,A4_vs_A0,1573,60,0,1.734723475976807e-18
retrieved_strict,A3_vs_A1,598,222,19,4.447751416480466e-45
retrieved_strict,A3_vs_A2,598,38,12,0.00030586400160359517
retrieved_strict,A4_vs_A0,598,55,0,5.551115123125783e-17
