baseline_label,condition,n,correct,flip_rate
hallucination,A1,1249,66,0.05284227381905524
hallucination,A2,1249,228,0.18254603682946358
hallucination,A3,1249,253,0.20256204963971178
hallucination,A4,1249,54,0.04323458767013611
omission,A1,324,6,0.018518518518518517
omission,A2,324,18,0.05555555555555555
omission,A3,324,19,0.05864197530864197
omission,A4,324,6,0.018518518518518517
