dataset,condition,n,correct,flip_rate
long,A1,795,32,0.04025157232704402
long,A2,795,122,0.15345911949685534
long,A3,795,135,0.16981132075471697
long,A4,795,31,0.0389937106918239
medium,A1,778,40,0.05141388174807198
medium,A2,778,124,0.15938303341902313
medium,A3,778,137,0.17609254498714652
medium,A4,778,29,0.037275064267352186
