baseline_label,condition,n,correct,flip_rate
hallucination,A1,665,79,0.11879699248120301
hallucination,A2,665,281,0.42255639097744363
hallucination,A3,665,319,0.47969924812030074
hallucination,A4,665,67,0.10075187969924812
hallucination,A5,665,158,0.23759398496240602
omission,A1,72,7,0.09722222222222222
omission,A2,72,20,0.2777777777777778
omission,A3,72,21,0.2916666666666667
omission,A4,72,2,0.027777777777777776
omission,A5,72,18,0.25
