pool,condition,n,correct,flip_rate,wilson_low,wilson_high
strict_all,A0,737,0,0.0,0.0,0.0051852643706106006
strict_all,A1,737,86,0.11668928086838534,0.09547317138064874,0.1418805251856945
strict_all,A2,737,301,0.4084124830393487,0.3734889957197738,0.44428578133590113
strict_all,A3,737,340,0.46132971506105835,0.42563312356045624,0.49742733786305093
strict_all,A4,737,69,0.09362279511533243,0.0746480068819993,0.11681192983169914
strict_all,A5,737,176,0.23880597014925373,0.20942924480522024,0.27089141568688974
strict_licensed,A0,170,0,0.0,0.0,0.022097483803655452
strict_licensed,A1,170,14,0.08235294117647059,0.04968796474943356,0.13347581583950213
strict_licensed,A2,170,66,0.38823529411764707,0.3182174755605508,0.4631925502308545
strict_licensed,A3,170,106,0.6235294117647059,0.5487259738608019,0.6928734713171185
strict_licensed,A4,170,67,0.3941176470588235,0.3237792628341637,0.4691354984419044
strict_licensed,A5,170,68,0.4,0.3293518105782164,0.4750676861825147
strict_assert_only,A0,567,0,0.0,0.0,0.006729467107435093
strict_assert_only,A1,567,72,0.12698412698412698,0.1020657969130931,0.15692285315118384
strict_assert_only,A2,567,235,0.4144620811287478,0.37462161501840485,0.45545379646205575
strict_assert_only,A3,567,234,0.4126984126984127,0.3728950301604765,0.4536767815566947
strict_assert_only,A4,567,2,0.003527336860670194,0.0009678565597083071,0.012768810074305727
strict_assert_only,A5,567,108,0.19047619047619047,0.16027926861023678,0.22483897293246108
