pool,condition,n,correct,flip_rate,wilson_low,wilson_high
full_pool,A1,737,86,0.11668928086838534,0.09547317138064874,0.1418805251856945
full_pool,A2,737,301,0.4084124830393487,0.3734889957197738,0.44428578133590113
full_pool,A3,737,340,0.46132971506105835,0.42563312356045624,0.49742733786305093
full_pool,A4,737,69,0.09362279511533243,0.0746480068819993,0.11681192983169914
full_pool,A5,737,176,0.23880597014925373,0.20942924480522024,0.27089141568688974
retrieved_strict,A1,737,86,0.11668928086838534,0.09547317138064874,0.1418805251856945
retrieved_strict,A2,737,301,0.4084124830393487,0.3734889957197738,0.44428578133590113
retrieved_strict,A3,737,340,0.46132971506105835,0.42563312356045624,0.49742733786305093
retrieved_strict,A4,737,69,0.09362279511533243,0.0746480068819993,0.11681192983169914
retrieved_strict,A5,737,176,0.23880597014925373,0.20942924480522024,0.27089141568688974
visible_supported,A1,737,86,0.11668928086838534,0.09547317138064874,0.1418805251856945
visible_supported,A2,737,301,0.4084124830393487,0.3734889957197738,0.44428578133590113
visible_supported,A3,737,340,0.46132971506105835,0.42563312356045624,0.49742733786305093
visible_supported,A4,737,69,0.09362279511533243,0.0746480068819993,0.11681192983169914
visible_supported,A5,737,176,0.23880597014925373,0.20942924480522024,0.27089141568688974
serialization_loss,A1,0,0,0.0,0.0,0.0
serialization_loss,A2,0,0,0.0,0.0,0.0
serialization_loss,A3,0,0,0.0,0.0,0.0
serialization_loss,A4,0,0,0.0,0.0,0.0
serialization_loss,A5,0,0,0.0,0.0,0.0
