dataset,condition,n,correct,flip_rate
long,A1,378,39,0.10317460317460317
long,A2,378,155,0.41005291005291006
long,A3,378,178,0.4708994708994709
long,A4,378,39,0.10317460317460317
long,A5,378,91,0.24074074074074073
medium,A1,359,47,0.1309192200557103
medium,A2,359,146,0.40668523676880225
medium,A3,359,162,0.45125348189415043
medium,A4,359,30,0.08356545961002786
medium,A5,359,85,0.23676880222841226
